Customer_ID,Customer_Name,Email,Phone,City,State,Country,Segment,Registration_Date
C0069,Customer_69,customer69@email.com,555-9463,Houston,PA,USA,Corporate,2021-05-29
C0070,Customer_70,customer70@email.com,555-4273,Dallas,CA,USA,Home Office,2023-05-16
C0071,Customer_71,customer71@email.com,555-5538,New York,TX,USA,Corporate,2021-12-09
C0072,Customer_72,customer72@email.com,555-9712,New York,NY,USA,Home Office,2023-02-22
C0073,Customer_73,customer73@email.com,555-4722,San Antonio,TX,USA,Consumer,2020-05-17
C0074,Customer_74,customer74@email.com,555-4551,Chicago,IL,USA,Consumer,2020-12-04
C0075,Customer_75,customer75@email.com,555-3832,San Jose,PA,USA,Home Office,2021-06-20
C0076,Customer_76,customer76@email.com,555-6679,Los Angeles,CA,USA,Consumer,2020-03-08
C0077,Customer_77,customer77@email.com,555-7579,Dallas,TX,USA,Home Office,2021-01-17
C0078,Customer_78,customer78@email.com,555-1152,Chicago,NY,USA,Consumer,2020-01-19
C0079,Customer_79,customer79@email.com,555-6754,Los Angeles,PA,USA,Consumer,2021-11-13
C0080,Customer_80,customer80@email.com,555-3800,San Diego,PA,USA,Consumer,2020-03-14
C0081,Customer_81,customer81@email.com,555-6310,San Jose,AZ,USA,Corporate,2021-07-26
C0082,Customer_82,customer82@email.com,555-3610,Philadelphia,AZ,USA,Corporate,2022-07-27
C0083,Customer_83,customer83@email.com,555-2104,Philadelphia,NY,USA,Corporate,2023-07-23
C0084,Customer_84,customer84@email.com,555-8361,San Jose,CA,USA,Consumer,2022-12-07
C0085,Customer_85,customer85@email.com,555-5199,San Antonio,AZ,USA,Consumer,2020-07-29
C0086,Customer_86,customer86@email.com,555-4854,San Antonio,CA,USA,Consumer,2022-05-04
C0087,Customer_87,customer87@email.com,555-8263,Philadelphia,TX,USA,Consumer,2021-10-12
C0088,Customer_88,customer88@email.com,555-2914,Houston,IL,USA,Home Office,2022-09-20
C0089,Customer_89,customer89@email.com,555-8365,Dallas,TX,USA,Consumer,2021-11-25
C0090,Customer_90,customer90@email.com,555-4072,Philadelphia,IL,USA,Home Office,2021-06-23
C0091,Customer_91,customer91@email.com,555-1406,Houston,IL,USA,Home Office,2023-04-29
C0092,Customer_92,customer92@email.com,555-1166,Chicago,TX,USA,Consumer,2023-08-31
C0093,Customer_93,customer93@email.com,555-1508,Houston,AZ,USA,Corporate,2022-06-19
C0094,Customer_94,customer94@email.com,555-2661,Chicago,NY,USA,Consumer,2022-02-18
C0095,Customer_95,customer95@email.com,555-4664,Los Angeles,TX,USA,Consumer,2023-02-10
C0096,Customer_96,customer96@email.com,555-4489,Phoenix,CA,USA,Consumer,2020-06-18
C0097,Customer_97,customer97@email.com,555-1680,Los Angeles,CA,USA,Corporate,2022-11-03
C0098,Customer_98,customer98@email.com,555-3524,Philadelphia,TX,USA,Consumer,2020-10-14
C0099,Customer_99,customer99@email.com,555-3120,Chicago,TX,USA,Corporate,2020-07-07
C0100,Customer_100,customer100@email.com,555-6260,Philadelphia,AZ,USA,Corporate,2022-07-02
C0101,Customer_101,customer101@email.com,555-5357,San Jose,CA,USA,Consumer,2023-03-24
C0102,Customer_102,customer102@email.com,555-2363,Dallas,TX,USA,Corporate,2021-11-24
C0103,Customer_103,customer103@email.com,555-3292,New York,CA,USA,Corporate,2022-06-06
C0104,Customer_104,customer104@email.com,555-2538,Philadelphia,TX,USA,Consumer,2021-04-15
C0105,Customer_105,customer105@email.com,555-4408,Dallas,TX,USA,Consumer,2023-01-03
C0106,Customer_106,customer106@email.com,555-8742,Houston,TX,USA,Corporate,2020-10-03
C0107,Customer_107,customer107@email.com,555-9752,Los Angeles,AZ,USA,Consumer,2022-07-28
C0108,Customer_108,customer108@email.com,555-2903,Houston,TX,USA,Corporate,2023-09-28
C0109,Customer_109,customer109@email.com,555-1174,New York,CA,USA,Consumer,2023-12-19
C0110,Customer_110,customer110@email.com,555-3230,Chicago,NY,USA,Consumer,2021-07-24
C0111,Customer_111,customer111@email.com,555-5287,San Jose,CA,USA,Consumer,2022-05-06
C0112,Customer_112,customer112@email.com,555-5160,Dallas,CA,USA,Consumer,2022-09-27
C0113,Customer_113,customer113@email.com,555-8106,San Jose,TX,USA,Corporate,2023-04-20
C0114,Customer_114,customer114@email.com,555-4171,Phoenix,NY,USA,Consumer,2021-04-02
C0115,Customer_115,customer115@email.com,555-2567,Philadelphia,NY,USA,Corporate,2022-07-06
C0116,Customer_116,customer116@email.com,555-2151,Chicago,AZ,USA,Home Office,2022-04-12
C0117,Customer_117,customer117@email.com,555-8619,Phoenix,TX,USA,Corporate,2022-12-23
C0118,Customer_118,customer118@email.com,555-7033,San Diego,PA,USA,Corporate,2022-04-18
C0119,Customer_119,customer119@email.com,555-9560,Philadelphia,IL,USA,Consumer,2023-07-07
C0120,Customer_120,customer120@email.com,555-5946,Houston,IL,USA,Consumer,2020-07-11
C0121,Customer_121,customer121@email.com,555-9234,Los Angeles,TX,USA,Corporate,2021-09-07
C0122,Customer_122,customer122@email.com,555-2907,Dallas,PA,USA,Consumer,2021-02-09
C0123,Customer_123,customer123@email.com,555-4490,New York,TX,USA,Corporate,2022-07-31
C0124,Customer_124,customer124@email.com,555-3535,New York,PA,USA,Consumer,2021-12-21
C0125,Customer_125,customer125@email.com,555-5173,Houston,AZ,USA,Corporate,2020-04-02
C0126,Customer_126,customer126@email.com,555-2293,San Antonio,CA,USA,Home Office,2021-03-05
C0127,Customer_127,customer127@email.com,555-5769,New York,TX,USA,Home Office,2021-10-15
C0128,Customer_128,customer128@email.com,555-5796,Dallas,NY,USA,Corporate,2023-12-28
C0129,Customer_129,customer129@email.com,555-7871,Houston,TX,USA,Corporate,2023-11-28
C0130,Customer_130,customer130@email.com,555-3972,Chicago,IL,USA,Corporate,2021-03-09
C0131,Customer_131,customer131@email.com,555-4922,New York,TX,USA,Corporate,2023-02-09
C0132,Customer_132,customer132@email.com,555-5997,San Jose,PA,USA,Consumer,2021-01-09
C0133,Customer_133,customer133@email.com,555-8032,Houston,TX,USA,Consumer,2022-12-18
C0134,Customer_134,customer134@email.com,555-1992,Dallas,AZ,USA,Consumer,2022-12-02
C0135,Customer_135,customer135@email.com,555-9112,San Jose,TX,USA,Home Office,2020-07-25
C0136,Customer_136,customer136@email.com,555-6287,Philadelphia,TX,USA,Consumer,2022-02-18
C0137,Customer_137,customer137@email.com,555-3240,Philadelphia,TX,USA,Corporate,2023-08-12
C0138,Customer_138,customer138@email.com,555-2476,New York,NY,USA,Corporate,2023-02-15
C0139,Customer_139,customer139@email.com,555-7426,San Jose,TX,USA,Corporate,2021-06-15
C0140,Customer_140,customer140@email.com,555-1389,Los Angeles,CA,USA,Corporate,2023-05-30
C0141,Customer_141,customer141@email.com,555-1999,Philadelphia,AZ,USA,Consumer,2020-06-14
C0142,Customer_142,customer142@email.com,555-2855,Los Angeles,CA,USA,Corporate,2021-10-04
C0143,Customer_143,customer143@email.com,555-9125,Chicago,AZ,USA,Home Office,2023-03-25
C0144,Customer_144,customer144@email.com,555-9850,Houston,PA,USA,Consumer,2023-04-22
C0145,Customer_145,customer145@email.com,555-3763,Phoenix,CA,USA,Consumer,2020-03-30
C0146,Customer_146,customer146@email.com,555-4663,Dallas,PA,USA,Corporate,2023-01-22
C0147,Customer_147,customer147@email.com,555-5986,Houston,PA,USA,Home Office,2020-01-13
C0148,Customer_148,customer148@email.com,555-2481,Dallas,NY,USA,Consumer,2022-08-30
C0149,Customer_149,customer149@email.com,555-8256,San Jose,NY,USA,Corporate,2022-03-15
C0150,Customer_150,customer150@email.com,555-4731,Chicago,CA,USA,Home Office,2022-08-02
